編號,日期,星期,總運量,資料更新時間
1,20240301,星期五,48239,20240407T090000
2,20240302,星期六,41721,20240407T090000
3,20240303,星期日,41792,20240407T090000
4,20240304,星期一,41657,20240407T090000
5,20240305,星期二,40426,20240407T090000
6,20240306,星期三,42786,20240407T090000
7,20240307,星期四,41186,20240407T090000
8,20240308,星期五,52605,20240407T090000
9,20240309,星期六,45500,20240407T090000
10,20240310,星期日,40363,20240407T090000
11,20240311,星期一,38612,20240407T090000
12,20240312,星期二,41326,20240407T090000
13,20240313,星期三,41820,20240407T090000
14,20240314,星期四,42844,20240407T090000
15,20240315,星期五,52415,20240407T090000
16,20240316,星期六,47472,20240407T090000
17,20240317,星期日,41961,20240407T090000
18,20240318,星期一,42080,20240407T090000
19,20240319,星期二,40946,20240407T090000
20,20240320,星期三,42704,20240407T090000
21,20240321,星期四,44044,20240407T090000
22,20240322,星期五,53182,20240407T090000
23,20240323,星期六,45975,20240407T090000
24,20240324,星期日,40380,20240407T090000
25,20240325,星期一,41388,20240407T090000
26,20240326,星期二,41164,20240407T090000
27,20240327,星期三,42793,20240407T090000
28,20240328,星期四,44114,20240407T090000
29,20240329,星期五,53486,20240407T090000
30,20240330,星期六,45005,20240407T090000
31,20240331,星期日,38549,20240407T090000
